BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,NotAllowed,Nitrogen assist gas supply subscription for laser cutting operations. Optimal cut quality on stainless steel and aluminium.,/resource/VEL_CUT_GAS,Hardware,true,true,true,Nitrogen Assist Gas Subscription,VEL-CUT-GAS,,,VEL-CUT-GAS,,
,false,NotAllowed,Professional on-site installation and commissioning of the PrecisionBeam+ laser system including laser calibration and safety validation.,/resource/VEL_SRV_INSTALL_LSR,Services,true,true,false,Installation Service,VEL-SRV-INSTALL-LSR,,,VEL-SRV-INSTALL-LSR,,
,false,NotAllowed,Annual preventive maintenance plan for PrecisionBeam+ laser systems. Includes optics cleaning calibration and 1 site visit per year.,/resource/VEL_SRV_MAINT_LSR,Services,true,true,false,Maintenance Plan,VEL-SRV-MAINT-LSR,,,VEL-SRV-MAINT-LSR,,
,false,NotAllowed,Extended warranty for PrecisionBeam+ laser system beyond standard 12-month manufacturer warranty.,/resource/VEL_SRV_WARRANTY_LSR,Services,true,true,false,Extended Warranty,VEL-SRV-WARRANTY-LSR,,,VEL-SRV-WARRANTY-LSR,,
,false,NotAllowed,PrecisionCut CAD/CAM software — advanced nesting optimisation programming and simulation for PrecisionBeam+ systems.,/resource/VEL_SW_LSR_CAD,Software,true,true,false,PrecisionCut CAD/CAM Software,VEL-SW-LSR-CAD,,,VEL-SW-LSR-CAD,,
,false,NotAllowed,NC Programming Suite License — standalone CNC programming and G-code generation for multi-machine environments.,/resource/VEL_SOFTWARE_NC,Software,true,true,false,NC Programming Suite License,VEL-SOFTWARE-NC,,,VEL-SOFTWARE-NC,,
,false,NotAllowed,"Cloud-based remote monitoring platform for Velantis industrial equipment. Real-time telemetry dashboards, predictive maintenance alerts, and OEE reporting across packaging and laser cutting systems.",/resource/VEL_SW_RMP,Software,true,true,false,Remote Monitoring Platform,VEL-SW-RMP,,,VEL-SW-RMP,,
,false,NotAllowed,Internal DRO Finance Service orchestration product — not sold to customers.,/resource/VEL_DRO_BILL,Services,false,false,false,VEL Finance Service,VEL-DRO-BILL,,,VEL-DRO-BILL,,
,false,NotAllowed,Internal DRO Manufacturing & QC Service orchestration product — not sold to customers.,/resource/VEL_DRO_MFG,Services,false,false,false,VEL Manufacturing & QC Service,VEL-DRO-MFG,,,VEL-DRO-MFG,,
,false,NotAllowed,Internal DRO Logistics & Shipping Service orchestration product — not sold to customers.,/resource/VEL_DRO_LOGIS,Services,false,false,false,VEL Logistics & Shipping Service,VEL-DRO-LOGIS,,,VEL-DRO-LOGIS,,
,false,NotAllowed,Internal DRO Installation & Commissioning orchestration product — not sold to customers.,/resource/VEL_DRO_INST,Services,false,false,false,VEL Installation & Commissioning,VEL-DRO-INST,,,VEL-DRO-INST,,
,false,NotAllowed,Internal DRO Service Activation orchestration product — not sold to customers.,/resource/VEL_DRO_SVCACT,Services,false,false,false,VEL Service Activation,VEL-DRO-SVCACT,,,VEL-DRO-SVCACT,,
,false,NotAllowed,Servo-driven raw sheet feeding and finished-part unloading for lights-out production. Integrates with Prima Power tower storage and automated storage systems (ASS).,/resource/VEL_LSR_AUTO_LU,Hardware,true,true,true,Automated Sheet Loader/Unloader,VEL-LSR-AUTO-LU,,,VEL-LSR-AUTO-LU,,
,false,NotAllowed,Downstream automated sorting and stacking of cut parts by program nest. Eliminates manual handling in high-volume production runs.,/resource/VEL_LSR_AUTO_SORT,Hardware,true,true,true,Smart Parts Sorting Unit,VEL-LSR-AUTO-SORT,,,VEL-LSR-AUTO-SORT,,
,false,NotAllowed,Oxygen assist gas supply subscription for laser cutting of mild and carbon steel. Delivers faster cutting speeds at lower cost per metre vs. nitrogen; produces oxide edge on cut surface.,/resource/VEL_CUT_GAS_O2,Hardware,true,true,true,Oxygen Assist Gas Subscription,VEL-CUT-GAS-O2,,,VEL-CUT-GAS-O2,,
,false,NotAllowed,Compressed-air assist gas for aluminium and non-ferrous metals. Lowest operating cost option — ideal for non-critical thin-gauge stainless and decorative cutting applications.,/resource/VEL_CUT_GAS_AIR,Hardware,true,true,true,Air Assist Gas Subscription,VEL-CUT-GAS-AIR,,,VEL-CUT-GAS-AIR,,
VEL_STP_BDL,false,Allowed,"VelTherma STP series is a highly configurable saturated steam sterilizer for bio-pharma multi-purpose sterilization. Suitable for solids, porous loads, and liquids in open or sealed containers. Supports tyndallization, pasteurization, and bioburden reduction. Chamber range from 200 to 6,800 liters, fully tailored to customer requirements.",/resource/VEL_STP_BDL,Industrial Equipment,true,true,false,VelTherma STP – Saturated Steam Sterilizer,VEL-STP-BDL,Each,,VEL-STP-BDL,Bundle,
VEL_STP_CTRL_CLASS,false,NotAllowed,VelControl Pro Process Controller: Industrial Box PC (real-time OS) + Operator Panel PC (Windows) + Distributed I/O. Compliant to FDA 21 CFR Part 11 and Annex 11. Classified as GAMP5 Category 4 Configured Product.,/resource/VEL_STP_CTRL,Software,true,true,false,VelControl Pro Process Controller,VEL-STP-CTRL,Each,,VEL-STP-CTRL,,
VEL_STP_CTRL_CLASS,false,NotAllowed,VelControl Pro Software License — high-level control with 21 CFR Part 11 compliance. Includes cycle composition tools and integrated electronic batch records.,/resource/VEL_STP_CTRL,Software,true,true,false,VelControl Pro Software License,VEL-STP-CTRL-SW,Each,,VEL-STP-CTRL-SW,,
VEL_STP_CTRL_CLASS,false,NotAllowed,"FlowMetrics Monitoring Platform for real-time tracking and centralized event management of utilities consumption (power, air, water, steam). 1-year license included.",/resource/VEL_STP_CTRL,Software,true,true,false,FlowMetrics Monitoring Platform,VEL-STP-CTRL-FMM,Each,,VEL-STP-CTRL-FMM,,
VEL_STP_DOOR_CLASS,false,Allowed,Motorized horizontal sliding access door for sterilizer chamber. Horizontal motorized sliding movement with FDA-compliant patented gaskets ensuring 100% chamber tightness.,/resource/VEL_STP_DOOR,Hardware,true,true,false,Motorized Horizontal Access Door,VEL-STP-DOOR-H,Each,,VEL-STP-DOOR-H,,
VEL_STP_DOOR_CLASS,false,Allowed,Motorized vertical sliding access door for sterilizer chamber. Vertical motorized sliding movement with FDA-compliant patented gaskets ensuring 100% chamber tightness.,/resource/VEL_STP_DOOR,Hardware,true,true,false,Motorized Vertical Access Door,VEL-STP-DOOR-V,Each,,VEL-STP-DOOR-V,,
VEL_INDUSTRIAL_HW,false,NotAllowed,"Condensate cooling unit to reduce drainage temperature to approximately 60°C before discharge. Brazed-plate heat exchanger regulated by thermostat, connected to mains water supply.",/resource/VEL_STP_OPT,Hardware,true,true,false,Condensate Cooling Unit,VEL-STP-OPT-DRAIN,Each,,VEL-STP-OPT-DRAIN,,
VEL_INDUSTRIAL_HW,false,NotAllowed,"GMP Compliance Package for VelControl Pro systems. Includes air detector, needle valve, automated detector function test, data recorder, additional sanitary pressure transducer, dual-element probes, steam sampling condenser, and steam inlet line.",/resource/VEL_STP_OPT,Hardware,true,true,false,GMP Compliance Package,VEL-STP-OPT-GMP,Each,,VEL-STP-OPT-GMP,,
VEL_INDUSTRIAL_HW,false,NotAllowed,Pressure vessel built according to PED 2014/68/EU. PED dossier included. Chamber certified for pharmaceutical-grade steam sterilization processes.,/resource/VEL_STP_CERT,Services,true,true,false,Pressure Vessel Compliance Certification,VEL-STP-CERT-PVC,Each,,VEL-STP-CERT-PVC,,
VEL_INDUSTRIAL_HW,false,NotAllowed,"External loading cart in AISI 304 stainless steel for loading and unloading the sterilizer chamber. Width up to 990 mm, depth up to 1000 mm. Includes swivelling wheels.",/resource/VEL_STP_LOAD,Hardware,true,true,false,External Loading Cart,VEL-STP-LOAD-CART,Each,,VEL-STP-LOAD-CART,,
VEL_INDUSTRIAL_HW,false,NotAllowed,"Perforated sterilization tray in AISI 316 stainless steel. Width up to 990 mm, depth up to 1000 mm. Perforated structure ensures optimal steam circulation around the load.",/resource/VEL_STP_LOAD,Hardware,true,true,false,Perforated Sterilization Tray,VEL-STP-LOAD-TRAY,Each,,VEL-STP-LOAD-TRAY,,
VEL_INDUSTRIAL_HW,false,NotAllowed,Internal rack trolley in AISI 316 stainless steel for tray handling inside the sterilizer chamber. For chamber doors up to 0.7 sqm and depth up to 1000 mm.,/resource/VEL_STP_LOAD,Hardware,true,true,false,Internal Rack Trolley,VEL-STP-LOAD-RACK,Each,,VEL-STP-LOAD-RACK,,
VEL_STP_CTRL_CLASS,false,NotAllowed,"Controller Validation Documentation Package. Available in electronic format. Includes system lifecycle documentation per GAMP5, 21 CFR Part 11 Compliance Assessment, FDS, SDS, HDS, Configuration Manual, and Change Control Manual.",/resource/VEL_STP_DOC,Services,true,true,false,Controller Validation Documentation Package,VEL-STP-DOC-VAL,Each,,VEL-STP-DOC-VAL,,
VEL_INDUSTRIAL_SVC,false,NotAllowed,Professional on-site installation and commissioning of the VelTherma STP sterilizer. Includes machine assembly verification and first operational qualification run by Velantis-certified technicians.,/resource/VEL_STP_SVC,Services,true,true,false,Installation & Commissioning Service,VEL-STP-SVC-INST,Each,,VEL-STP-SVC-INST,,
VEL_INDUSTRIAL_SVC,false,NotAllowed,Standard annual maintenance contract for the VelTherma STP sterilizer — scheduled preventive maintenance visits and full parts coverage for all mechanical and electrical components.,/resource/VEL_STP_SRV_MAINT_STD,Services,true,true,false,VelTherma Standard Maintenance Contract,VEL-STP-SRV-MAINT-STD,Each,,VEL-STP-SRV-MAINT-STD,,
VEL_INDUSTRIAL_SVC,false,NotAllowed,Premium 24/7 maintenance contract for the VelTherma STP sterilizer — priority response time and full parts & labour coverage including GMP change-control support and emergency callouts.,/resource/VEL_STP_SRV_MAINT_PREM,Services,true,true,false,VelTherma Premium Maintenance Contract,VEL-STP-SRV-MAINT-PREM,Each,,VEL-STP-SRV-MAINT-PREM,,
